PLAB(GEV/C),SIG(MB),STA_ERR+,STA_ERR-
0.18800,0.0788,0.041,0.041
0.20500,0.1189,0.038,0.038
0.22300,0.1682,0.034,0.034
0.24200,0.2024,0.031,0.031
0.26000,0.3234,0.032,0.032
0.26500,0.4245,0.008,0.008
0.27900,0.3871,0.034,0.034
0.29000,0.487,0.0081,0.0081
0.29800,0.5042,0.037,0.037
0.31500,0.5269,0.0081,0.0081
0.31800,0.5326,0.037,0.037
0.33700,0.5423,0.032,0.032
0.34000,0.4778,0.0083,0.0083
0.35700,0.4808,0.03,0.03
0.36500,0.4066,0.008,0.008
0.37700,0.411,0.031,0.031
0.39000,0.3341,0.0076,0.0076
0.39700,0.3119,0.033,0.033
0.41500,0.2444,0.0075,0.0075
0.41800,0.2496,0.026,0.026
0.43800,0.2109,0.026,0.026
0.44000,0.2245,0.0067,0.0067
0.45900,0.1742,0.027,0.027
0.46500,0.2005,0.0066,0.0066
0.48100,0.1888,0.026,0.026
0.49000,0.1783,0.0065,0.0065
0.50200,0.1764,0.025,0.025
0.51500,0.1769,0.0064,0.0064
0.52400,0.1671,0.017,0.017
0.54000,0.1869,0.0062,0.0062
0.54600,0.1912,0.017,0.017
0.56500,0.194,0.004,0.004
0.56800,0.2185,0.017,0.017
0.59000,0.2117,0.0039,0.0039
0.59000,0.2091,0.018,0.018
0.61300,0.2335,0.016,0.016
0.61500,0.2226,0.0041,0.0041
0.63600,0.2385,0.016,0.016
0.64000,0.2327,0.0042,0.0042
0.65900,0.2456,0.018,0.018
0.66100,0.211,0.022,0.022
0.66500,0.2395,0.0043,0.0043
0.68200,0.2514,0.018,0.018
0.69000,0.2646,0.0045,0.0045
0.70600,0.2739,0.019,0.019
0.71500,0.279,0.0045,0.0045
0.73000,0.2891,0.02,0.02
0.74000,0.2756,0.0046,0.0046
0.75400,0.2866,0.019,0.019
0.76500,0.2607,0.0046,0.0046
0.77800,0.2751,0.018,0.018
0.79000,0.2447,0.0046,0.0046
0.80000,0.201,0.02,0.02
0.80300,0.2587,0.016,0.016
0.81500,0.2211,0.0046,0.0046
0.82800,0.2316,0.017,0.017
0.84000,0.2063,0.0046,0.0046
0.85300,0.2299,0.017,0.017
0.86500,0.2137,0.0045,0.0045
0.87800,0.2266,0.016,0.016
0.89000,0.2088,0.0045,0.0045
0.90400,0.1998,0.017,0.017
0.91500,0.2017,0.0047,0.0047
0.92400,0.193,0.019,0.019
0.92900,0.2336,0.018,0.018
0.94000,0.205,0.0046,0.0046
0.95600,0.2117,0.016,0.016
0.96500,0.2015,0.0048,0.0048
0.98200,0.221,0.015,0.015
0.99000,0.2121,0.0049,0.0049
1.00800,0.2324,0.015,0.015
1.01500,0.2175,0.005,0.005
1.03500,0.2234,0.016,0.016
1.04000,0.2152,0.0049,0.0049
1.06200,0.2416,0.017,0.017
1.06500,0.1917,0.005,0.005
1.08900,0.2324,0.018,0.018
1.09000,0.1911,0.005,0.005
1.11500,0.1747,0.005,0.005
1.11700,0.2238,0.016,0.016
1.14000,0.165,0.0048,0.0048
1.14400,0.2079,0.015,0.015
1.15000,0.1821,0.0078,0.0078
1.16500,0.1587,0.0049,0.0049
1.17200,0.1593,0.017,0.017
1.19000,0.1622,0.005,0.005
1.20000,0.1841,0.018,0.018
1.21500,0.1496,0.0048,0.0048
1.22900,0.1753,0.015,0.015
1.24000,0.1486,0.005,0.005
1.25800,0.1526,0.015,0.015
1.26500,0.1438,0.0049,0.0049
1.28600,0.1556,0.016,0.016
1.29000,0.1556,0.0047,0.0047
1.31500,0.15,0.014,0.014
1.31500,0.1468,0.0049,0.0049
1.31600,0.1806,0.016,0.016
1.34000,0.1536,0.0048,0.0048
1.34500,0.1599,0.016,0.016
1.36500,0.1544,0.005,0.005
1.37500,0.1643,0.017,0.017
1.39000,0.1536,0.0054,0.0054
1.40400,0.116,0.017,0.017
1.41500,0.1468,0.0052,0.0052
1.43500,0.1968,0.016,0.016
1.44000,0.1535,0.0053,0.0053
1.45000,0.1537,0.0063,0.0063
1.46500,0.1708,0.014,0.014
1.46500,0.1442,0.0054,0.0054
1.49000,0.1515,0.0052,0.0052
1.49500,0.1581,0.014,0.014
1.50000,0.151,0.009,0.009
1.51500,0.1559,0.0053,0.0053
1.52600,0.1754,0.016,0.016
1.54000,0.1541,0.0051,0.0051
1.55700,0.165,0.016,0.016
1.56500,0.1461,0.0051,0.0051
1.58900,0.1637,0.015,0.015
1.59000,0.1388,0.0051,0.0051
1.61500,0.1565,0.0051,0.0051
1.62000,0.164,0.015,0.015
1.64000,0.1502,0.005,0.005
1.65200,0.1417,0.014,0.014
1.66500,0.1503,0.004,0.004
1.68400,0.1423,0.014,0.014
1.69000,0.1454,0.0039,0.0039
1.71500,0.1389,0.0037,0.0037
1.74000,0.1445,0.0039,0.0039
1.75000,0.146,0.0064,0.0064
1.76500,0.1425,0.0044,0.0044
1.79000,0.1415,0.0045,0.0045
1.81500,0.1424,0.0047,0.0047
1.84000,0.1432,0.0044,0.0044
1.86500,0.1486,0.0044,0.0044
1.89000,0.1539,0.0047,0.0047
1.91500,0.1354,0.0046,0.0046
1.92000,0.115,0.012,0.012
1.94000,0.148,0.0049,0.0049
1.96500,0.1443,0.0047,0.0047
1.99000,0.1435,0.0047,0.0047
2.00000,0.1432,0.0027,0.0027
2.01500,0.1491,0.0048,0.0048
2.04000,0.1435,0.0052,0.0052
2.05000,0.1485,0.0067,0.0067
2.06500,0.138,0.0053,0.0053
2.09000,0.1317,0.0053,0.0053
2.11500,0.1445,0.0052,0.0052
2.14000,0.1375,0.0053,0.0053
2.16500,0.1449,0.0053,0.0053
2.19000,0.1359,0.0053,0.0053
2.21500,0.1383,0.0054,0.0054
2.24000,0.139,0.0055,0.0055
2.25300,0.1463,0.008,0.008
2.26500,0.1361,0.0055,0.0055
2.29000,0.1286,0.0055,0.0055
2.31500,0.1359,0.0056,0.0056
2.34000,0.1395,0.0058,0.0058
2.35000,0.1442,0.008,0.008
2.36500,0.1327,0.0055,0.0055
2.39000,0.1387,0.0056,0.0056
2.41500,0.1431,0.0057,0.0057
2.44000,0.1403,0.0058,0.0058
2.46500,0.1404,0.0056,0.0056
2.49000,0.1389,0.0061,0.0061
2.50000,0.134,0.008,0.008
2.51500,0.141,0.0058,0.0058
2.54000,0.1304,0.0058,0.0058
2.56500,0.1363,0.0057,0.0057
2.59000,0.1241,0.0077,0.0077
2.61500,0.1284,0.007,0.007
2.64000,0.1299,0.0077,0.0077
2.65000,0.142,0.0095,0.0095
2.66500,0.1325,0.0073,0.0073
2.69000,0.1343,0.0059,0.0059
2.71500,0.1387,0.006,0.006
2.74000,0.1328,0.0061,0.0061
2.76500,0.1444,0.0043,0.0043
2.79000,0.1334,0.0041,0.0041
2.80000,0.132,0.003,0.003
2.81500,0.1362,0.0038,0.0038
2.84000,0.1302,0.004,0.004
2.86500,0.1338,0.0037,0.0037
2.88800,0.1482,0.005,0.005
2.89000,0.1339,0.0038,0.0038
2.89500,0.111,0.012,0.012
2.91500,0.1304,0.0039,0.0039
2.94000,0.1314,0.004,0.004
2.95000,0.1298,0.0069,0.0069
2.96500,0.1287,0.004,0.004
2.99000,0.1404,0.004,0.004
3.01500,0.1383,0.0041,0.0041
3.04000,0.1292,0.0043,0.0043
3.06500,0.1436,0.004,0.004
3.09000,0.128,0.0042,0.0042
3.11500,0.1326,0.004,0.004
3.14000,0.1321,0.0044,0.0044
3.16500,0.1268,0.005,0.005
3.19000,0.1278,0.0051,0.0051
3.21500,0.1243,0.0049,0.0049
3.24000,0.1239,0.0049,0.0049
3.25000,0.1327,0.006,0.006
3.26500,0.1271,0.0052,0.0052
3.27000,0.1268,0.0022,0.0022
3.29000,0.1213,0.005,0.005
3.31500,0.1338,0.0051,0.0051
3.34000,0.1287,0.0051,0.0051
3.36500,0.1343,0.0052,0.0052
3.39000,0.1231,0.0051,0.0051
3.41500,0.1317,0.0054,0.0054
3.44000,0.1214,0.0053,0.0053
3.46500,0.137,0.0052,0.0052
3.49000,0.1232,0.0052,0.0052
3.51500,0.1301,0.0054,0.0054
3.54000,0.1348,0.0054,0.0054
3.55000,0.1272,0.0062,0.0062
3.56500,0.1294,0.0053,0.0053
3.59000,0.1278,0.006,0.006
3.59000,0.1417,0.005,0.005
3.61500,0.1227,0.0057,0.0057
3.64000,0.1218,0.0055,0.0055
3.66500,0.1198,0.0056,0.0056
3.69000,0.1193,0.0057,0.0057
3.71500,0.1342,0.0054,0.0054
3.74000,0.1323,0.0055,0.0055
3.76500,0.1248,0.0058,0.0058
3.79000,0.122,0.0056,0.0056
3.81500,0.1139,0.0055,0.0055
3.84000,0.1271,0.006,0.006
3.85000,0.1346,0.0064,0.0064
3.86500,0.1224,0.0059,0.0059
3.89000,0.1347,0.0059,0.0059
3.91500,0.1249,0.0057,0.0057
3.94000,0.1163,0.0058,0.0058
3.96500,0.1362,0.0061,0.0061
3.99000,0.1236,0.0063,0.0063
4.00000,0.127,0.008,0.008
4.01500,0.1462,0.0063,0.0063
4.04000,0.1356,0.0063,0.0063
4.06500,0.1198,0.0066,0.0066
4.07000,0.1314,0.0027,0.0027
4.09000,0.1419,0.0068,0.0068
4.11500,0.1324,0.0069,0.0069
4.14000,0.1288,0.0065,0.0065
4.15000,0.1315,0.0066,0.0066
4.16500,0.1336,0.0068,0.0068
4.19000,0.1335,0.0072,0.0072
4.21500,0.1266,0.0069,0.0069
4.35900,0.1368,0.005,0.005
4.44000,0.116,0.012,0.012
4.45000,0.1247,0.0058,0.0058
4.70000,0.127,0.003,0.003
4.75000,0.1242,0.0054,0.0054
4.81000,0.1218,0.0022,0.0022
5.05000,0.1218,0.0045,0.0045
5.17000,0.1281,0.0024,0.0024
5.19500,0.1342,0.005,0.005
5.35000,0.1221,0.006,0.006
5.65000,0.1184,0.005,0.005
5.75000,0.125,0.011,0.011
5.95000,0.1236,0.0055,0.0055
6.09700,0.1332,0.005,0.005
6.21000,0.1159,0.0022,0.0022
6.25000,0.1221,0.0056,0.0056
6.57000,0.1219,0.0022,0.0022
7.06500,0.134,0.006,0.006
7.50000,0.126,0.017,0.017
7.50000,0.122,0.008,0.008
7.79000,0.1238,0.0024,0.0024
8.10000,0.1252,0.006,0.006
8.43000,0.12,0.0022,0.0022
9.20200,0.1336,0.008,0.008
9.30000,0.124,0.0025,0.0025
9.51000,0.1141,0.0028,0.0028
9.83000,0.1204,0.0022,0.0022
10.3710,0.1304,0.007,0.007
10.7100,0.1236,0.0022,0.0022
11.6060,0.1283,0.009,0.009
12.4900,0.1177,0.0022,0.0022
12.9070,0.1193,0.012,0.012
13.6100,0.1146,0.0025,0.0025
14.2760,0.1121,0.018,0.018
15.7000,0.1399,0.025,0.025
16.3800,0.1136,0.0026,0.0026
18.3000,0.11691,0.0007,0.0007
23.2000,0.11537,0.00074,0.00074
27.7000,0.11374,0.001,0.001
30.9000,0.11434,0.0011,0.0011
31.4000,0.11419,0.00055,0.00055
34.2000,0.11484,0.0011,0.0011
36.5000,0.11218,0.0014,0.0014
37.9000,0.1135,0.0006,0.0006
43.9000,0.11457,0.00083,0.00083
44.5000,0.11484,0.0005,0.0005
48.4000,0.11457,0.00087,0.00087
52.6000,0.11425,0.00088,0.00088
54.9000,0.11311,0.00054,0.00054
55.6000,0.11406,0.0014,0.0014
64.3000,0.11481,0.00076,0.00076
67.9000,0.11458,0.00056,0.00056
71.4000,0.114,0.00079,0.00079
77.9000,0.11402,0.00079,0.00079
82.4000,0.11661,0.001,0.001
83.9000,0.11589,0.00061,0.00061
98.6000,0.11559,0.00089,0.00089
98.9000,0.11585,0.00074,0.00074
109.100,0.11382,0.00089,0.00089
118.800,0.11652,0.00099,0.00099
121.800,0.11637,0.00087,0.00087
126.000,0.1143,0.0011,0.0011
142.000,0.1158,0.0013,0.0013
157.800,0.11978,0.0013,0.0013
172.199,0.11637,0.0013,0.0013
182.699,0.11849,0.0016,0.0016
1097.91,0.128,0.014,0.014
1547.70,0.146,0.015,0.015
3029.12,0.148,0.023,0.023
9496.93,0.152,0.08,0.08
2.1315E,0.1653,0.0023,0.0023
2.3277E,0.174,0.001,0.001
